"","competition_id","competition_name","competition_gender","competition_country","competition_season","competition_round","match_id","date","city","arena_id","arena_name","neutral_arena","attendance","home_id","home_name","away_id","away_name","winner_id","winner_name","result_home","result_away","result_home_first_half","result_away_first_half","result_home_second_half","result_away_second_half","result_home_ot1_first_half","result_away_ot1_first_half","result_home_ot1_second_half","result_away_ot1_second_half","result_home_ot2_first_half","result_away_ot2_first_half","result_home_ot2_second_half","result_away_ot2_second_half","result_home_penalty","result_away_penalty"
"1",1,"HBL","male","Germany","2008/09","1","841282",2008-09-03,NA,"","","",0,3,"Rhein-Neckar Löwen",19,"TV Großwallstadt","3","Rhein-Neckar Löwen",33,32,13,20,20,12,0,0,NA,NA,"","","","",0,0
"14134",1,"HBL","male","Germany","2018/19","34","15060455",2019-06-09,"Stuttgart","","","",2251,17,"TVB Stuttgart",6,"HC Erlangen","6","HC Erlangen",27,28,14,13,13,15,0,0,NA,NA,"","","","",0,0
"14133",1,"HBL","male","Germany","2018/19","34","15060453",2019-06-09,"Bietigheim-Bissingen","","","",4517,52,"SG BBM Bietigheim",7,"VfL Gummersbach","draw","draw",25,25,14,11,11,14,0,0,NA,NA,"","","","",0,0
"14132",1,"HBL","male","Germany","2018/19","34","15060451",2019-06-09," Düsseldorf","","","",10043,14,"Bergischer HC",5,"SG Flensburg-Handewitt","5","SG Flensburg-Handewitt",24,27,8,16,16,11,0,0,NA,NA,"","","","",0,0
"14131",1,"HBL","male","Germany","2018/19","34","15060449",2019-06-09,"Ludwigshafen","","","",2350,42,"Die Eulen Ludwigshafen",10,"GWD Minden","42","Die Eulen Ludwigshafen",31,30,14,17,17,13,0,0,NA,NA,"","","","",0,0
"14130",1,"HBL","male","Germany","2018/19","34","15060447",2019-06-09,"Leipzig","","","",5239,13,"SC DHfK Leipzig",3,"Rhein-Neckar Löwen","13","SC DHfK Leipzig",28,26,14,14,14,12,0,0,NA,NA,"","","","",0,0
"14129",1,"HBL","male","Germany","2018/19","34","15060445",2019-06-09,"Kassel","","","",4300,15,"MT Melsungen",9,"TBV Lemgo Lippe","15","MT Melsungen",31,27,16,15,15,12,0,0,NA,NA,"","","","",0,0
"14128",1,"HBL","male","Germany","2018/19","34","15060443",2019-06-09,"Göppingen","","","",4600,11,"FRISCH AUF! Göppingen",4,"SC Magdeburg","4","SC Magdeburg",24,31,12,12,12,19,0,0,NA,NA,"","","","",0,0
"14127",1,"HBL","male","Germany","2018/19","34","15060441",2019-06-09,"Berlin","","","",8704,2,"Füchse Berlin",1,"HSG Wetzlar","1","HSG Wetzlar",25,27,14,11,11,16,0,0,NA,NA,"","","","",0,0
"14126",1,"HBL","male","Germany","2018/19","34","15060439",2019-06-09,"Kiel","","","",10285,18,"THW Kiel",12,"TSV Hannover-Burgdorf","18","THW Kiel",30,26,15,15,15,11,0,0,NA,NA,"","","","",0,0
"14125",1,"HBL","male","Germany","2018/19","33","15060437",2019-05-29,"Lemgo","","","",4790,9,"TBV Lemgo Lippe",18,"THW Kiel","18","THW Kiel",26,34,11,15,15,19,0,0,NA,NA,"","","","",0,0
"14124",1,"HBL","male","Germany","2018/19","33","15060435",2019-05-29,"Gummersbach","","","",4132,7,"VfL Gummersbach",11,"FRISCH AUF! Göppingen","11","FRISCH AUF! Göppingen",22,26,13,9,9,17,0,0,NA,NA,"","","","",0,0
"14123",1,"HBL","male","Germany","2018/19","33","15060433",2019-05-29,"Minden","","","",2923,10,"GWD Minden",14,"Bergischer HC","14","Bergischer HC",32,35,15,17,17,18,0,0,NA,NA,"","","","",0,0
"14122",1,"HBL","male","Germany","2018/19","33","15060431",2019-05-28,"Hannover","","","",5077,12,"TSV Hannover-Burgdorf",13,"SC DHfK Leipzig","12","TSV Hannover-Burgdorf",30,28,15,15,15,13,0,0,NA,NA,"","","","",0,0
"14121",1,"HBL","male","Germany","2018/19","33","15060429",2019-05-29,"Wetzlar","","","",4279,1,"HSG Wetzlar",17,"TVB Stuttgart","1","HSG Wetzlar",26,23,13,13,13,10,0,0,NA,NA,"","","","",0,0
"14120",1,"HBL","male","Germany","2018/19","33","15060427",2019-05-29,"Nürnberg","","","",4538,6,"HC Erlangen",15,"MT Melsungen","15","MT Melsungen",24,25,16,8,8,17,0,0,NA,NA,"","","","",0,0
"14119",1,"HBL","male","Germany","2018/19","33","15060425",2019-05-29,"Magdeburg","","","",6600,4,"SC Magdeburg",52,"SG BBM Bietigheim","4","SC Magdeburg",23,19,9,14,14,5,0,0,NA,NA,"","","","",0,0
"14118",1,"HBL","male","Germany","2018/19","33","15060423",2019-05-29,"Flensburg","","","",6300,5,"SG Flensburg-Handewitt",2,"Füchse Berlin","5","SG Flensburg-Handewitt",26,18,14,12,12,6,0,0,NA,NA,"","","","",0,0
"14117",1,"HBL","male","Germany","2018/19","33","15060421",2019-05-29,"Mannheim","","","",9225,3,"Rhein-Neckar Löwen",42,"Die Eulen Ludwigshafen","42","Die Eulen Ludwigshafen",26,29,11,15,15,14,0,0,NA,NA,"","","","",0,0
"14116",1,"HBL","male","Germany","2018/19","32","15060419",2019-05-23,"Stuttgart","","","",5959,17,"TVB Stuttgart",5,"SG Flensburg-Handewitt","5","SG Flensburg-Handewitt",20,30,9,11,11,19,0,0,NA,NA,"","","","",0,0
"14115",1,"HBL","male","Germany","2018/19","32","15060417",2019-05-25,"Bietigheim-Bissingen","","","",2400,52,"SG BBM Bietigheim",9,"TBV Lemgo Lippe","52","SG BBM Bietigheim",25,23,13,12,12,11,0,0,NA,NA,"","","","",0,0
"14114",1,"HBL","male","Germany","2018/19","32","15060415",2019-05-26,"Ludwigshafen","","","",2004,42,"Die Eulen Ludwigshafen",14,"Bergischer HC","42","Die Eulen Ludwigshafen",23,22,9,14,14,8,0,0,NA,NA,"","","","",0,0
"14113",1,"HBL","male","Germany","2018/19","32","15060413",2019-05-23,"Leipzig","","","",3769,13,"SC DHfK Leipzig",6,"HC Erlangen","13","SC DHfK Leipzig",26,25,12,14,14,11,0,0,NA,NA,"","","","",0,0
"14112",1,"HBL","male","Germany","2018/19","32","15060411",2019-05-23,"Kassel","","","",4300,15,"MT Melsungen",12,"TSV Hannover-Burgdorf","15","MT Melsungen",28,25,12,16,16,9,0,0,NA,NA,"","","","",0,0
"14111",1,"HBL","male","Germany","2018/19","32","15060409",2019-05-16,"Göppingen","","","",3800,11,"FRISCH AUF! Göppingen",1,"HSG Wetzlar","1","HSG Wetzlar",22,24,10,12,12,12,0,0,NA,NA,"","","","",0,0
"14110",1,"HBL","male","Germany","2018/19","32","15060407",2019-05-26,"Berlin","","","",9000,2,"Füchse Berlin",3,"Rhein-Neckar Löwen","2","Füchse Berlin",34,33,20,14,14,19,0,0,NA,NA,"","","","",0,0
"14109",1,"HBL","male","Germany","2018/19","32","15060405",2019-05-23,"Magdeburg","","","",6404,4,"SC Magdeburg",7,"VfL Gummersbach","4","SC Magdeburg",29,24,14,15,15,9,0,0,NA,NA,"","","","",0,0
"14108",1,"HBL","male","Germany","2018/19","32","15060403",2019-05-26,"Kiel","","","",10285,18,"THW Kiel",10,"GWD Minden","18","THW Kiel",39,19,19,20,20,-1,0,0,NA,NA,"","","","",0,0
"14107",1,"HBL","male","Germany","2018/19","31","15060401",2019-05-15,"Lemgo","","","",4173,9,"TBV Lemgo Lippe",4,"SC Magdeburg","4","SC Magdeburg",22,23,10,12,12,11,0,0,NA,NA,"","","","",0,0
"14106",1,"HBL","male","Germany","2018/19","31","15060399",2019-05-02,"Solingen","","","",2491,14,"Bergischer HC",2,"Füchse Berlin","14","Bergischer HC",28,26,14,14,14,12,0,0,NA,NA,"","","","",0,0
"14105",1,"HBL","male","Germany","2018/19","31","15060397",2019-05-15,"Ludwigshafen","","","",1864,42,"Die Eulen Ludwigshafen",17,"TVB Stuttgart","draw","draw",23,23,11,12,12,11,0,0,NA,NA,"","","","",0,0
"14104",1,"HBL","male","Germany","2018/19","31","15060395",2019-05-15,"Minden","","","",2754,10,"GWD Minden",13,"SC DHfK Leipzig","13","SC DHfK Leipzig",24,26,16,8,8,18,0,0,NA,NA,"","","","",0,0
"14103",1,"HBL","male","Germany","2018/19","31","15060393",2019-05-14,"Hannover","","","",4021,12,"TSV Hannover-Burgdorf",7,"VfL Gummersbach","12","TSV Hannover-Burgdorf",30,24,14,16,16,8,0,0,NA,NA,"","","","",0,0
"14102",1,"HBL","male","Germany","2018/19","31","15060391",2019-05-09,"Wetzlar","","","",4421,1,"HSG Wetzlar",18,"THW Kiel","18","THW Kiel",23,27,12,11,11,16,0,0,NA,NA,"","","","",0,0
"14101",1,"HBL","male","Germany","2018/19","31","15060389",2019-05-16,"Nürnberg","","","",3792,6,"HC Erlangen",52,"SG BBM Bietigheim","6","HC Erlangen",27,25,12,15,15,10,0,0,NA,NA,"","","","",0,0
"14100",1,"HBL","male","Germany","2018/19","31","15060387",2019-05-16,"Flensburg","","","",6300,5,"SG Flensburg-Handewitt",15,"MT Melsungen","5","SG Flensburg-Handewitt",30,24,14,16,16,8,0,0,NA,NA,"","","","",0,0
"14099",1,"HBL","male","Germany","2018/19","31","15060385",2019-05-23,"Mannheim","","","",8015,3,"Rhein-Neckar Löwen",11,"FRISCH AUF! Göppingen","3","Rhein-Neckar Löwen",33,27,15,18,18,9,0,0,NA,NA,"","","","",0,0
"14098",1,"HBL","male","Germany","2018/19","30","15060383",2019-05-09,"Stuttgart","","","",2050,17,"TVB Stuttgart",10,"GWD Minden","10","GWD Minden",30,31,14,16,16,15,0,0,NA,NA,"","","","",0,0
"14097",1,"HBL","male","Germany","2018/19","30","15060381",2019-05-09,"Bietigheim-Bissingen","","","",2509,52,"SG BBM Bietigheim",12,"TSV Hannover-Burgdorf","52","SG BBM Bietigheim",29,27,13,16,16,11,0,0,NA,NA,"","","","",0,0
"14096",1,"HBL","male","Germany","2018/19","30","15060379",2019-05-11,"Gummersbach","","","",3621,7,"VfL Gummersbach",9,"TBV Lemgo Lippe","7","VfL Gummersbach",25,19,14,11,11,8,0,0,NA,NA,"","","","",0,0
"14095",1,"HBL","male","Germany","2018/19","30","15060377",2019-05-11,"Leipzig","","","",4124,13,"SC DHfK Leipzig",14,"Bergischer HC","draw","draw",25,25,12,13,13,12,0,0,NA,NA,"","","","",0,0
"14094",1,"HBL","male","Germany","2018/19","30","15060375",2019-05-12,"Kassel","","","",4300,15,"MT Melsungen",3,"Rhein-Neckar Löwen","3","Rhein-Neckar Löwen",23,26,13,10,10,16,0,0,NA,NA,"","","","",0,0
"14093",1,"HBL","male","Germany","2018/19","30","15060373",2019-05-09,"Göppingen","","","",4000,11,"FRISCH AUF! Göppingen",6,"HC Erlangen","11","FRISCH AUF! Göppingen",25,23,11,14,14,9,0,0,NA,NA,"","","","",0,0
"14092",1,"HBL","male","Germany","2018/19","30","15060371",2019-05-12,"Berlin","","","",7485,2,"Füchse Berlin",42,"Die Eulen Ludwigshafen","2","Füchse Berlin",32,20,17,15,15,5,0,0,NA,NA,"","","","",0,0
"14091",1,"HBL","male","Germany","2018/19","30","15060369",2019-05-12,"Magdeburg","","","",6527,4,"SC Magdeburg",1,"HSG Wetzlar","4","SC Magdeburg",30,25,18,12,12,13,0,0,NA,NA,"","","","",0,0
"14090",1,"HBL","male","Germany","2018/19","30","15060367",2019-05-12,"Kiel","","","",10285,18,"THW Kiel",5,"SG Flensburg-Handewitt","18","THW Kiel",20,18,11,9,9,9,0,0,NA,NA,"","","","",0,0
"14089",1,"HBL","male","Germany","2018/19","29","15060365",2019-05-05,"Lemgo","","","",4145,9,"TBV Lemgo Lippe",11,"FRISCH AUF! Göppingen","11","FRISCH AUF! Göppingen",25,30,10,15,15,15,0,0,NA,NA,"","","","",0,0
"14088",1,"HBL","male","Germany","2018/19","29","15060363",2019-05-05,"Solingen","","","",2491,14,"Bergischer HC",17,"TVB Stuttgart","14","Bergischer HC",29,28,16,13,13,15,0,0,NA,NA,"","","","",0,0
"14087",1,"HBL","male","Germany","2018/19","29","15060361",2019-05-02,"Ludwigshafen","","","",2005,42,"Die Eulen Ludwigshafen",15,"MT Melsungen","15","MT Melsungen",22,27,11,11,11,16,0,0,NA,NA,"","","","",0,0
"14086",1,"HBL","male","Germany","2018/19","29","15060359",2019-05-05,"Minden","","","",3800,10,"GWD Minden",2,"Füchse Berlin","2","Füchse Berlin",27,28,14,13,13,15,0,0,NA,NA,"","","","",0,0
"14085",1,"HBL","male","Germany","2018/19","29","15060357",2019-05-05,"Hannover","","","",4150,12,"TSV Hannover-Burgdorf",4,"SC Magdeburg","4","SC Magdeburg",26,31,13,13,13,18,0,0,NA,NA,"","","","",0,0
"14084",1,"HBL","male","Germany","2018/19","29","15060355",2019-05-02,"Wetzlar","","","",4105,1,"HSG Wetzlar",7,"VfL Gummersbach","1","HSG Wetzlar",30,23,15,15,15,8,0,0,NA,NA,"","","","",0,0
"14083",1,"HBL","male","Germany","2018/19","29","15060353",2019-05-04,"Nürnberg","","","",8600,6,"HC Erlangen",18,"THW Kiel","18","THW Kiel",21,30,12,9,9,21,0,0,NA,NA,"","","","",0,0
"14082",1,"HBL","male","Germany","2018/19","29","15060351",2019-05-01,"Flensburg","","","",6118,5,"SG Flensburg-Handewitt",13,"SC DHfK Leipzig","5","SG Flensburg-Handewitt",27,21,16,11,11,10,0,0,NA,NA,"","","","",0,0
"14081",1,"HBL","male","Germany","2018/19","29","15060349",2019-05-05,"Mannheim","","","",6500,3,"Rhein-Neckar Löwen",52,"SG BBM Bietigheim","3","Rhein-Neckar Löwen",30,15,16,14,14,1,0,0,NA,NA,"","","","",0,0
"14080",1,"HBL","male","Germany","2018/19","28","15060347",2019-04-25,"Stuttgart","","","",2251,17,"TVB Stuttgart",2,"Füchse Berlin","2","Füchse Berlin",33,34,18,15,15,19,0,0,NA,NA,"","","","",0,0
"14079",1,"HBL","male","Germany","2018/19","28","15060345",2019-04-25,"Bietigheim-Bissingen","","","",1945,52,"SG BBM Bietigheim",1,"HSG Wetzlar","draw","draw",26,26,13,13,13,13,0,0,NA,NA,"","","","",0,0
"14078",1,"HBL","male","Germany","2018/19","28","15060343",2019-04-28,"Gummersbach","","","",3474,7,"VfL Gummersbach",6,"HC Erlangen","6","HC Erlangen",25,27,14,11,11,16,0,0,NA,NA,"","","","",0,0
"14077",1,"HBL","male","Germany","2018/19","28","15060341",2019-04-25,"Leipzig","","","",4337,13,"SC DHfK Leipzig",42,"Die Eulen Ludwigshafen","13","SC DHfK Leipzig",28,22,11,17,17,5,0,0,NA,NA,"","","","",0,0
"14076",1,"HBL","male","Germany","2018/19","28","15060339",2019-04-25,"Hannover","","","",4312,12,"TSV Hannover-Burgdorf",9,"TBV Lemgo Lippe","draw","draw",27,27,13,14,14,13,0,0,NA,NA,"","","","",0,0
"14075",1,"HBL","male","Germany","2018/19","28","15060337",2019-04-27,"Kassel","","","",3816,15,"MT Melsungen",10,"GWD Minden","15","MT Melsungen",26,21,15,11,11,10,0,0,NA,NA,"","","","",0,0
"14074",1,"HBL","male","Germany","2018/19","28","15060335",2019-04-28,"Göppingen","","","",5200,11,"FRISCH AUF! Göppingen",5,"SG Flensburg-Handewitt","5","SG Flensburg-Handewitt",23,28,10,13,13,15,0,0,NA,NA,"","","","",0,0
"14073",1,"HBL","male","Germany","2018/19","28","15060333",2019-04-28,"Magdeburg","","","",6600,4,"SC Magdeburg",3,"Rhein-Neckar Löwen","3","Rhein-Neckar Löwen",29,32,14,15,15,17,0,0,NA,NA,"","","","",0,0
"14072",1,"HBL","male","Germany","2018/19","28","15060331",2019-04-28,"Kiel","","","",10285,18,"THW Kiel",14,"Bergischer HC","18","THW Kiel",32,24,17,15,15,9,0,0,NA,NA,"","","","",0,0
"14071",1,"HBL","male","Germany","2018/19","27","15060329",2019-04-21,"Stuttgart","","","",2190,17,"TVB Stuttgart",13,"SC DHfK Leipzig","13","SC DHfK Leipzig",29,32,17,12,12,20,0,0,NA,NA,"","","","",0,0
"14070",1,"HBL","male","Germany","2018/19","27","15060327",2019-04-20,"Wuppertal","","","",2729,14,"Bergischer HC",15,"MT Melsungen","14","Bergischer HC",25,24,14,11,11,13,0,0,NA,NA,"","","","",0,0
"14069",1,"HBL","male","Germany","2018/19","27","15060325",2019-04-18,"Ludwigshafen","","","",2350,42,"Die Eulen Ludwigshafen",11,"FRISCH AUF! Göppingen","11","FRISCH AUF! Göppingen",23,32,9,14,14,18,0,0,NA,NA,"","","","",0,0
"14068",1,"HBL","male","Germany","2018/19","27","15060323",2019-04-21,"Minden","","","",2234,10,"GWD Minden",52,"SG BBM Bietigheim","10","GWD Minden",30,26,16,14,14,12,0,0,NA,NA,"","","","",0,0
"14067",1,"HBL","male","Germany","2018/19","27","15060321",2019-04-21,"Wetzlar","","","",4023,1,"HSG Wetzlar",9,"TBV Lemgo Lippe","9","TBV Lemgo Lippe",27,28,14,13,13,15,0,0,NA,NA,"","","","",0,0
"14066",1,"HBL","male","Germany","2018/19","27","15060319",2019-04-21,"Nürnberg","","","",4812,6,"HC Erlangen",4,"SC Magdeburg","6","HC Erlangen",26,25,15,11,11,14,0,0,NA,NA,"","","","",0,0
"14065",1,"HBL","male","Germany","2018/19","27","15060317",2019-04-18,"Berlin","","","",10000,2,"Füchse Berlin",18,"THW Kiel","18","THW Kiel",29,30,15,14,14,16,0,0,NA,NA,"","","","",0,0
"14064",1,"HBL","male","Germany","2018/19","27","15060315",2019-04-18,"Flensburg","","","",6300,5,"SG Flensburg-Handewitt",7,"VfL Gummersbach","5","SG Flensburg-Handewitt",28,20,17,11,11,9,0,0,NA,NA,"","","","",0,0
"14063",1,"HBL","male","Germany","2018/19","27","15060313",2019-04-18,"Hannover","","","",7551,12,"TSV Hannover-Burgdorf",3,"Rhein-Neckar Löwen","3","Rhein-Neckar Löwen",28,30,14,14,14,16,0,0,NA,NA,"","","","",0,0
"14062",1,"HBL","male","Germany","2018/19","26","15060311",2019-03-31,"Ludwigsburg","","","",2306,52,"SG BBM Bietigheim",14,"Bergischer HC","14","Bergischer HC",21,28,11,10,10,18,0,0,NA,NA,"","","","",0,0
"14061",1,"HBL","male","Germany","2018/19","26","15060309",2019-03-31,"Lemgo","","","",4420,9,"TBV Lemgo Lippe",6,"HC Erlangen","9","TBV Lemgo Lippe",31,23,15,16,16,7,0,0,NA,NA,"","","","",0,0
"14060",1,"HBL","male","Germany","2018/19","26","15060307",2019-03-28,"Gummersbach","","","",2522,7,"VfL Gummersbach",3,"Rhein-Neckar Löwen","7","VfL Gummersbach",28,23,13,15,15,8,0,0,NA,NA,"","","","",0,0
"14059",1,"HBL","male","Germany","2018/19","26","15060305",2019-03-28,"Leipzig","","","",4613,13,"SC DHfK Leipzig",2,"Füchse Berlin","13","SC DHfK Leipzig",32,27,16,16,16,11,0,0,NA,NA,"","","","",0,0
"14058",1,"HBL","male","Germany","2018/19","26","15060303",2019-03-31,"Hannover","","","",6023,12,"TSV Hannover-Burgdorf",1,"HSG Wetzlar","1","HSG Wetzlar",23,25,10,13,13,12,0,0,NA,NA,"","","","",0,0
"14057",1,"HBL","male","Germany","2018/19","26","15060301",2019-03-30,"Kassel","","","",4300,15,"MT Melsungen",17,"TVB Stuttgart","17","TVB Stuttgart",24,26,14,10,10,16,0,0,NA,NA,"","","","",0,0
"14056",1,"HBL","male","Germany","2018/19","26","15060299",2019-03-31,"Göppingen","","","",4500,11,"FRISCH AUF! Göppingen",10,"GWD Minden","draw","draw",21,21,12,9,9,12,0,0,NA,NA,"","","","",0,0
"14055",1,"HBL","male","Germany","2018/19","26","15060297",2019-03-28,"Magdeburg","","","",6600,4,"SC Magdeburg",5,"SG Flensburg-Handewitt","4","SC Magdeburg",24,23,11,13,13,10,0,0,NA,NA,"","","","",0,0
"14054",1,"HBL","male","Germany","2018/19","26","15060295",2019-03-28,"Kiel","","","",10285,18,"THW Kiel",42,"Die Eulen Ludwigshafen","18","THW Kiel",37,21,18,19,19,2,0,0,NA,NA,"","","","",0,0
"14053",1,"HBL","male","Germany","2018/19","25","15060293",2019-03-21,"Stuttgart","","","",5760,17,"TVB Stuttgart",18,"THW Kiel","18","THW Kiel",27,30,16,11,11,19,0,0,NA,NA,"","","","",0,0
"14052",1,"HBL","male","Germany","2018/19","25","15060291",2019-03-24,"Gummersbach","","","",3899,7,"VfL Gummersbach",14,"Bergischer HC","14","Bergischer HC",22,29,11,11,11,18,0,0,NA,NA,"","","","",0,0
"14051",1,"HBL","male","Germany","2018/19","25","15060289",2019-03-23,"Ludwigshafen","","","",2350,42,"Die Eulen Ludwigshafen",9,"TBV Lemgo Lippe","42","Die Eulen Ludwigshafen",20,19,9,11,11,8,0,0,NA,NA,"","","","",0,0
"14050",1,"HBL","male","Germany","2018/19","25","15060287",2019-03-24,"Minden","","","",3800,10,"GWD Minden",4,"SC Magdeburg","4","SC Magdeburg",25,27,11,14,14,13,0,0,NA,NA,"","","","",0,0
"14049",1,"HBL","male","Germany","2018/19","25","15060285",2019-03-24,"Leipzig","","","",5027,13,"SC DHfK Leipzig",15,"MT Melsungen","15","MT Melsungen",26,29,12,14,14,15,0,0,NA,NA,"","","","",0,0
"14048",1,"HBL","male","Germany","2018/19","25","15060283",2019-03-21,"Nürnberg","","","",3555,6,"HC Erlangen",12,"TSV Hannover-Burgdorf","draw","draw",25,25,12,13,13,12,0,0,NA,NA,"","","","",0,0
"14047",1,"HBL","male","Germany","2018/19","25","15060281",2019-03-21,"Berlin","","","",6424,2,"Füchse Berlin",11,"FRISCH AUF! Göppingen","11","FRISCH AUF! Göppingen",29,33,15,14,14,19,0,0,NA,NA,"","","","",0,0
"14046",1,"HBL","male","Germany","2018/19","25","15060279",2019-03-21,"Flensburg","","","",6003,5,"SG Flensburg-Handewitt",52,"SG BBM Bietigheim","5","SG Flensburg-Handewitt",31,22,15,16,16,6,0,0,NA,NA,"","","","",0,0
"14045",1,"HBL","male","Germany","2018/19","25","15060277",2019-03-14,"Mannheim","","","",7083,3,"Rhein-Neckar Löwen",1,"HSG Wetzlar","3","Rhein-Neckar Löwen",31,21,15,16,16,5,0,0,NA,NA,"","","","",0,0
"14044",1,"HBL","male","Germany","2018/19","24","15060275",2019-03-17,"Ludwigsburg","","","",3800,52,"SG BBM Bietigheim",17,"TVB Stuttgart","17","TVB Stuttgart",19,28,8,11,11,17,0,0,NA,NA,"","","","",0,0
"14043",1,"HBL","male","Germany","2018/19","24","15060273",2019-03-17,"Lemgo","","","",4540,9,"TBV Lemgo Lippe",3,"Rhein-Neckar Löwen","3","Rhein-Neckar Löwen",23,25,11,12,12,13,0,0,NA,NA,"","","","",0,0
"14042",1,"HBL","male","Germany","2018/19","24","15060271",2019-03-17,"Gummersbach","","","",3701,7,"VfL Gummersbach",10,"GWD Minden","10","GWD Minden",20,25,8,12,12,13,0,0,NA,NA,"","","","",0,0
"14041",1,"HBL","male","Germany","2018/19","24","15060269",2019-03-14,"Hannover","","","",7061,12,"TSV Hannover-Burgdorf",5,"SG Flensburg-Handewitt","5","SG Flensburg-Handewitt",28,33,13,15,15,18,0,0,NA,NA,"","","","",0,0
"14040",1,"HBL","male","Germany","2018/19","24","15060267",2019-03-17,"Wetzlar","","","",4421,1,"HSG Wetzlar",6,"HC Erlangen","6","HC Erlangen",27,28,10,17,17,11,0,0,NA,NA,"","","","",0,0
"14039",1,"HBL","male","Germany","2018/19","24","15060265",2019-03-14,"Kassel","","","",4300,15,"MT Melsungen",2,"Füchse Berlin","15","MT Melsungen",26,22,12,14,14,8,0,0,NA,NA,"","","","",0,0
"14038",1,"HBL","male","Germany","2018/19","24","15060263",2019-03-16,"Göppingen","","","",4600,11,"FRISCH AUF! Göppingen",14,"Bergischer HC","14","Bergischer HC",27,30,11,16,16,14,0,0,NA,NA,"","","","",0,0
"14037",1,"HBL","male","Germany","2018/19","24","15060261",2019-03-14,"Magdeburg","","","",6304,4,"SC Magdeburg",42,"Die Eulen Ludwigshafen","4","SC Magdeburg",35,26,18,17,17,9,0,0,NA,NA,"","","","",0,0
"14036",1,"HBL","male","Germany","2018/19","24","15060259",2019-03-14,"Kiel","","","",10285,18,"THW Kiel",13,"SC DHfK Leipzig","18","THW Kiel",27,22,10,17,17,5,0,0,NA,NA,"","","","",0,0
"14035",1,"HBL","male","Germany","2018/19","23","15060257",2019-03-03,"Stuttgart","","","",6200,17,"TVB Stuttgart",11,"FRISCH AUF! Göppingen","draw","draw",26,26,11,15,15,11,0,0,NA,NA,"","","","",0,0
"14034",1,"HBL","male","Germany","2018/19","23","15060255",2019-03-03,"Wuppertal","","","",3010,14,"Bergischer HC",4,"SC Magdeburg","4","SC Magdeburg",23,27,10,13,13,14,0,0,NA,NA,"","","","",0,0
"14033",1,"HBL","male","Germany","2018/19","23","15060253",2019-03-02,"Ludwigshafen","","","",2165,42,"Die Eulen Ludwigshafen",1,"HSG Wetzlar","1","HSG Wetzlar",25,29,13,12,12,17,0,0,NA,NA,"","","","",0,0
"14032",1,"HBL","male","Germany","2018/19","23","15060251",2019-02-28,"Minden","","","",3013,10,"GWD Minden",12,"TSV Hannover-Burgdorf","12","TSV Hannover-Burgdorf",29,32,13,16,16,16,0,0,NA,NA,"","","","",0,0
"14031",1,"HBL","male","Germany","2018/19","23","15060249",2019-03-03,"Leipzig","","","",4630,13,"SC DHfK Leipzig",7,"VfL Gummersbach","13","SC DHfK Leipzig",28,18,13,15,15,3,0,0,NA,NA,"","","","",0,0
"14030",1,"HBL","male","Germany","2018/19","23","15060247",2019-02-28,"Kassel","","","",4300,15,"MT Melsungen",18,"THW Kiel","18","THW Kiel",25,29,14,11,11,18,0,0,NA,NA,"","","","",0,0
"14029",1,"HBL","male","Germany","2018/19","23","15060245",2019-02-28,"Nürnberg","","","",5261,6,"HC Erlangen",3,"Rhein-Neckar Löwen","draw","draw",23,23,12,11,11,12,0,0,NA,NA,"","","","",0,0
"14028",1,"HBL","male","Germany","2018/19","23","15060243",2019-02-28,"Berlin","","","",6453,2,"Füchse Berlin",52,"SG BBM Bietigheim","2","Füchse Berlin",30,26,15,15,15,11,0,0,NA,NA,"","","","",0,0
"14027",1,"HBL","male","Germany","2018/19","23","15060241",2019-03-03,"Flensburg","","","",6300,5,"SG Flensburg-Handewitt",9,"TBV Lemgo Lippe","5","SG Flensburg-Handewitt",33,24,18,15,15,9,0,0,NA,NA,"","","","",0,0
"14026",1,"HBL","male","Germany","2018/19","22","15060239",2019-02-24,"Bietigheim-Bissingen","","","",3076,52,"SG BBM Bietigheim",42,"Die Eulen Ludwigshafen","52","SG BBM Bietigheim",27,18,11,16,16,2,0,0,NA,NA,"","","","",0,0
"14025",1,"HBL","male","Germany","2018/19","22","15060237",2019-02-24,"Lemgo","","","",4312,9,"TBV Lemgo Lippe",13,"SC DHfK Leipzig","9","TBV Lemgo Lippe",24,20,9,15,15,5,0,0,NA,NA,"","","","",0,0
"14024",1,"HBL","male","Germany","2018/19","22","15060235",2019-02-21,"Gummersbach","","","",4022,7,"VfL Gummersbach",18,"THW Kiel","18","THW Kiel",22,35,8,14,14,21,0,0,NA,NA,"","","","",0,0
"14023",1,"HBL","male","Germany","2018/19","22","15060233",2019-02-21,"Hannover","","","",4150,12,"TSV Hannover-Burgdorf",2,"Füchse Berlin","12","TSV Hannover-Burgdorf",26,25,10,16,16,9,0,0,NA,NA,"","","","",0,0
"14022",1,"HBL","male","Germany","2018/19","22","15060231",2019-02-21,"Wetzlar","","","",3721,1,"HSG Wetzlar",10,"GWD Minden","1","HSG Wetzlar",31,27,18,13,13,14,0,0,NA,NA,"","","","",0,0
"14021",1,"HBL","male","Germany","2018/19","22","15060229",2019-02-24,"Göppingen","","","",4800,11,"FRISCH AUF! Göppingen",15,"MT Melsungen","15","MT Melsungen",27,30,11,16,16,14,0,0,NA,NA,"","","","",0,0
